collection_id,movie_id,release_year
1960,766,1992
495527,8844,1995
495527,353486,2017
495527,512200,2019
495527,1260649,2026
1216426,335787,2022
1286059,41357,1971
1286059,89545,1973
690097,155751,1937
690097,116232,1937
690097,124381,1938
690097,43846,1938
690097,120757,1938
690097,155756,1939
690097,43826,1939
690097,120885,1939
690097,43808,1940
690097,43789,1941
690097,43793,1941
690097,43167,1942
690097,92848,1944
690097,43483,1946
690097,155752,1958
690097,71012,1942
102322,58574,2011
102322,10528,2009
44979,9600,2000
44979,11565,2006
44979,38322,2011
1974,1970,2004
1974,1975,2006
1974,1977,2009
221111,9257,2003
221111,54445,2011
221111,461053,2017
85943,1593,2006
85943,18360,2009
85943,181533,2014
178117,13417,2005
178117,11688,2000
85960,4032,1991
85960,11317,1994
458697,42450,1974
458697,42263,1975
10194,862,1995
10194,863,1999
10194,10193,2010
10194,301528,2019
10194,1084244,2026
120794,268,1989
120794,364,1992
120794,414,1995
120794,415,1997
12263,9552,1973
12263,11586,1977
12263,11587,1990
12263,11026,2004
12263,12700,2005
12263,807172,2023
192492,1669,1990
192492,9869,1992
192492,9331,1994
720879,675353,2022
720879,454626,2020
720879,939243,2024
720879,1401586,2027
124916,11674,1996
124916,10481,2000
77816,9502,2008
77816,49444,2011
77816,140300,2016
77816,1011985,2024
112636,525,1980
112636,11568,1998
985085,9268,1996
985085,923597,2022
