movie_id,title,release_year,budget,revenue,vote_average,collection_id
541105,The Great Divide,1925,318000,674000,0.0,
98477,The Eagle,1925,0,323150,6.3,
89647,Clash of the Wolves,1925,89000,270000,6.267,
673603,The Man Who Found Himself,1925,0,180300,0.0,
595119,"His Majesty, Bunker Bean",1925,84000,130000,0.0,
664792,Jewelled Nights,1925,10480,6500,0.0,
545359,The Dressmaker from Paris,1925,0,181,0.0,
1419117,The Flight That Failed,1925,0,0,0.0,
1419115,Hair Raiser,1925,0,0,0.0,
1419112,A Uke-Calamity,1925,0,0,0.0,
1419111,The Smoke Eater,1925,0,0,0.0,
1419108,Hot Dogs,1925,0,0,0.0,
1413580,Honeymoon Heaven,1925,0,0,0.0,
1408216,The Ace of Spades,1925,0,0,0.0,
1407176,Red Love,1925,0,0,0.0,
1406091,The Boomerang,1925,0,0,0.0,
1404025,Daisy Bell,1925,0,0,0.0,
1404022,Dixie,1925,0,0,0.0,
189621,Beau Geste,1926,900000,1500000,6.0,
225112,The Better 'Ole,1926,449000,1273000,5.0,
111305,Tell It to the Marines,1926,433000,1250000,6.3,
961,The General,1926,750000,1000000,7.953,
73575,Sparrows,1926,463455,966878,7.111,
177219,The Sea Beast,1926,503000,938000,6.5,
38687,Flesh and the Devil,1926,373000,658000,7.2,
1422436,Faithful Wives,1926,0,0,0.0,
1416223,日輪,1926,0,0,0.0,
1415561,Missing Links,1926,0,0,0.0,
1415558,The Mighty Smithy,1926,0,0,0.0,
1415155,GALICIA / Tranvías de La Coruña,1926,0,0,0.0,
1413490,Great Caesar's Ghost!,1926,0,0,0.0,
1407484,The Man in the Shadow,1926,0,0,0.0,
1405895,Alexander's Ragtime Band,1926,0,0,0.0,
1405892,Annie Laurie,1926,0,0,0.0,
1405888,Beautiful Eyes,1926,0,0,0.0,
1405886,Everybody's Doing It,1926,0,0,0.0,
1405645,Finiculee Fincula,1926,0,0,0.0,
1405644,For Me and My Gal,1926,0,0,0.0,
1405643,I Love a Lassie,1926,0,0,0.0,
1405641,I Love to Fall Asleep,1926,0,0,0.0,
1405638,In My Harem,1926,0,0,0.0,
1405634,Just Try to Picture Me,1926,0,0,0.0,
1405631,Koko Kidnapped,1926,0,0,0.0,
28966,Wings,1927,2000000,3600000,7.2,
49633,The King of Kings,1927,1265000,2640000,6.5,
939,The Jazz Singer,1927,422000,2600000,6.078,
82474,7th Heaven,1927,1300000,2500000,7.4,
631,Sunrise: A Song of Two Humans,1927,0,1636000,7.8,
200656,Rough House Rosie,1927,225000,1125000,0.0,
122331,When a Man Loves,1927,528000,1037000,6.4,
73969,My Best Girl,1927,483103,1027757,7.0,
64852,London After Midnight,1927,151666,1000000,6.6,
171343,The Magic Flame,1927,0,615000,4.5,
673588,Knockout Reilly,1927,0,380400,0.0,
76804,The Cat and the Canary,1927,0,325550,6.8,
1422966,The Haunted Ship,,0,0,0.0,
1417280,Taxi! Taxi!,1927,0,0,0.0,
1407482,The Midnight Watch,1927,0,0,0.0,
1407478,Fire and Steel,1927,0,0,0.0,
1407386,Call Me Up Some Rainy Afternoon,1927,0,0,0.0,
1407384,KoKo Kicks,1927,0,0,0.0,
